UniqueCount	AmbigCount
19	2967
3	3143
81	4044
13	1127
4	1185
720	6166
23	103
4	358
0	340
0	11955
0	12203
0	11493
0	11741
1	0
121	4903
51	4903
2550	0
1406	0
22	0
6909	0
5733	0
2	5243
9	5316
257	5262
228	3124
0	2968
38	1239
2572	4027
0	67
0	67
16788	0
17373	0
30	709
7	813
62	795
0	86
0	86
1	86
2115	0
38	4064
10	4064
448	0
757	0
1015	1889
3	1889
0	2301
36	1642
15	1664
20	1613
13	1770
1	1387
9	1639
0	6377
93	6364
2	5876
0	5854
0	5911
39	698
75	1224
0	1230
52	1267
147	0
0	548
1	790
0	990
0	547
4	926
2	964
0	673
0	705
25293	0
198	0
569	0
438	0
11	0
0	718
0	666
0	719
0	667
0	621
0	628
0	588
0	663
0	688
0	727
1	667
943	0
155	0
393	0
357	23917
223	23917
35296	0
26	3
0	3
1216	0
2758	76
0	76
18144	0
80	5669
0	7886
0	7886
8908	0
6	11829
18	11829
2379	0
29056	0
0	1296
1	1801
6	1784
387	2397
287	2397
340	0
2055	0
112	2164
20	1864
0	1877
7	2177
0	2552
96	2374
142	2336
9	1721
2876	0
831	0
0	0
5223	0
6	1251
18	1251
288	1244
468	0
2033	0
366	6193
8	6193
0	11261
21	10989
0	9746
0	9719
9	10963
33	10964
950	0
3972	0
14	5383
1838	5383
0	28
0	29
0	29
1	33
0	34
58	0
3	550
36	550
7735	0
3527	0
1584	0
36	7130
701	7130
1554	0
25	0
1714	0
230	5139
43	4902
0	5204
940	0
2097	0
673	0
1979	0
17	5406
13	2201
0	5501
26	2243
295	4471
23	2250
59	5417
627	3614
1046	5168
628	4962
1604	0
0	23
2	23
2	23
2673	3659
411	0
27	0
37	412
255	412
138	829
54	829
1028	0
3	0
240	0
18	0
117	0
318	0
83	0
41	0
163	0
326	0
2	6276
2	6276
444	1772
43	1772
419	1719
4	1719
4969	0
5458	0
3810	0
44	0
731	0
39	3043
711	3043
1405	0
459	0
1983	0
4900	0
1174	0
833	0
106	0
2841	0
1745	0
12608	0
6458	0
352	0
510	23
348	0
3330	0
0	64
11	49
0	87
1775	11879
828	11879
5677	0
543	4746
0	4746
124	0
2164	0
1577	0
39	117
11	117
0	200
11	226
5	139
0	138
1	140
263	1313
274	2242
238	2183
1942	0
496	0
8043	0
0	0
5054	0
0	6716
302	6716
784	6299
2472	0
126	0
337	0
47	4972
26	4972
6	10149
41	10149
8	9633
1799	9587
8	28
0	28
88	6201
103	6201
14	4012
7	3566
0	5451
209	4274
773	5450
4174	0
7425	0
1202	82
17319	0
758	0
1946	0
3365	0
916	314
1113	314
4	0
25	0
