UniqueCount	AmbigCount
827	1
166	620
18	423
21	420
0	375
57	402
86	629
0	1381
0	1381
202	0
134	649
12	956
30	670
0	670
0	626
2008	3
0	0
335	56
3	56
2008	0
0	1012
13	1024
1	877
11	926
0	650
0	701
0	679
0	601
5	189
57	0
64	2345
13	2297
20	2341
7	0
4	0
187	0
384	1
720	0
611	0
3345	2
3	2040
3994	2037
239	128
3	127
9	96
5	96
0	18
0	18
0	18
1	18
0	242
2	98
9	242
0	242
1	143
4	140
0	134
0	133
2	0
3	932
73	836
23	831
150	3152
9	3176
32	1968
36	2125
2	1694
0	1301
8	1300
1	1302
306	1228
0	1258
171	676
127	676
0	26
2	26
0	0
1037	2
3	0
1	0
11	250
8	250
0	4
0	4
0	2177
42	2443
132	738
4	2273
4	0
1367	0
25	461
36	461
426	76
23	94
0	17
26	40
0	5
0	5
0	0
2	0
1	0
3	0
0	0
0	0
11	192
0	192
2554	0
231	0
242	1466
90	1466
605	3911
1	3691
0	3254
2	0
743	2
1238	0
71	2368
0	2007
8	1593
276	1330
2	2
522	774
6	773
251	482
1	482
8	1
2259	3
0	0
25	515
6	515
0	7
0	7
0	7
56	3493
1	3109
0	2977
0	2929
97	1309
13	1253
3	1323
0	1090
1	1161
2	642
2	639
2	628
5	659
1919	1
98	651
31	651
40	0
347	1957
100	1957
6	70
147	517
4	517
2	9
3	9
4	659
0	723
0	715
276	0
1	0
0	0
2	143
274	144
6	0
26	3181
0	3488
0	3852
48	3596
0	3452
0	1024
0	978
44	1061
0	1020
266	599
690	603
36	1190
0	1184
2	1192
279	0
223	0
1	0
0	1
0	1
0	2
0	2
944	0
4	621
109	548
1955	621
0	665
0	712
0	661
0	654
0	0
0	573
0	573
442	947
9	949
0	575
0	573
0	801
0	575
0	800
48	0
2731	2
0	2
0	2
0	3
21	228
21	228
0	3
2	2095
37	2129
0	1970
1	1977
11	943
0	946
0	864
0	759
0	579
0	578
18	449
54	233
9	0
36	2623
0	2623
0	640
0	640
28	597
77	597
0	2
1	2
2	0
0	0
10	0
2	0
2	583
9	583
98	0
5	70
0	70
1	67
1	205
32	205
1226	0
0	863
45	863
1385	0
269	0
133	891
2	887
182	5156
360	5156
40	100
648	0
0	117
2	117
105	0
211	1570
84	1570
1068	0
19	312
91	312
0	246
86	0
51	448
0	426
0	464
1	0
2	0
4	0
861	1
9	201
0	202
0	203
117	952
0	268
100	452
0	861
0	548
0	254
32	864
1223	1
419	3113
0	3636
259	3633
7	3147
0	3654
0	3376
31	3650
18	97
72	97
263	0
44	1253
0	1194
0	715
0	711
174	875
0	875
36	0
19	360
0	429
0	431
369	549
92	955
25	882
0	0
816	1994
15	1994
1315	1101
31	1099
411	0
48	704
31	704
954	0
174	250
6	250
306	0
550	0
0	263
0	262
0	277
0	0
0	4040
2	3937
5	4084
1	1544
19	3099
603	725
0	7250
0	7301
0	5445
2	5188
97	0
0	167
1	167
0	165
571	0
27	0
408	6610
51	6646
0	5918
3	111
1	113
11	62
830	347
29	430
19	410
347	2
57	0
114	414
48	414
2036	1
207	0
8	1518
19	1518
4716	3508
4	3506
2	36
2692	3
4884	4
2	3
0	559
0	580
0	539
0	520
3	289
16	0
1	63
0	65
1	67
213	0
68	0
1	1958
4	1914
64	1829
26	1
12	1
105	1
45	2538
367	2540
82	0
0	0
34	357
2	355
0	196
880	0
68	0
8	0
1	2868
448	2844
0	2766
3	2397
4	2366
78	3016
38	2741
0	1456
8	1558
0	1480
1	1497
11	1452
11	1539
2	1499
1657	0
79	0
39	1542
118	1543
191	814
7	814
0	784
6	49
0	0
874	1
102	295
1	303
14	287
59	186
2	186
166	0
895	0
969	1
73	376
53	376
744	0
3	266
7	265
