UniqueCount	AmbigCount
11	1701
7	1808
48	2356
10	1447
11	1619
675	8268
11	46
0	538
1	470
0	8021
0	8278
0	7702
0	7959
0	0
85	3319
29	3319
1599	0
776	0
14	0
3640	0
3609	0
5	3314
8	3482
209	3323
68	1927
11	1882
35	656
1984	2805
0	17
0	17
10418	0
9157	0
6	597
28	715
39	689
0	62
0	62
0	62
1170	0
89	3829
1	3829
277	0
446	0
662	1765
7	1765
0	1444
48	1056
2	1056
24	1016
33	1119
3	891
12	1032
0	3825
99	3688
5	3707
0	3645
181	3697
2	422
0	566
0	593
28	628
272	0
0	170
0	264
0	347
4	202
0	324
1	308
0	221
2	236
16856	0
140	0
641	0
6716	0
14	0
0	401
0	369
0	400
0	368
0	358
0	357
0	334
0	365
0	368
0	379
0	368
628	0
74	0
290	0
302	13810
140	13810
17231	0
13	0
0	0
1073	0
1504	36
0	36
12357	0
56	3458
0	4817
0	4817
5371	0
110	8651
344	8651
1961	0
23002	0
0	736
3	1061
7	1051
303	1653
279	1653
314	0
2456	0
38	1085
16	969
2	985
7	1102
0	1526
65	1355
98	1340
13	1070
1612	0
714	0
0	0
4238	0
8	867
8	867
243	866
433	0
1409	1
176	3671
9	3671
0	6378
9	6275
0	5529
0	5509
9	6258
14	6258
568	0
3404	0
3	5656
1758	5656
1	27
0	27
0	26
0	29
0	29
20	0
7	569
41	569
5301	0
1274	0
1046	0
18	4503
409	4503
1112	0
30	0
1513	0
147	3680
16	3529
0	3721
708	0
1260	0
369	0
812	0
14	3282
12	1274
0	3341
1	1312
133	2796
5	1315
23	3283
390	1767
625	2749
307	2636
857	0
2	30
0	30
0	30
1696	2339
333	0
4	0
34	392
242	392
95	680
48	680
783	0
0	0
199	0
42	0
65	0
211	0
80	0
51	0
14	0
242	0
13	2373
0	2373
312	1660
9	1660
306	1015
16	1015
2668	0
2998	0
2584	0
54	0
530	0
19	1816
334	1816
654	0
270	0
4989	0
4529	0
847	0
283	0
42	0
2649	0
587	0
6164	0
4166	0
319	0
412	22
357	0
2351	0
0	49
6	36
2	62
424	7258
719	7258
3196	0
358	2676
7	2676
258	0
1752	0
678	0
23	78
13	78
0	124
7	145
12	114
2	106
0	98
81	537
75	883
128	861
1494	0
206	0
4428	0
1	0
3470	0
0	4180
95	4015
387	3935
2455	0
178	0
241	0
51	3478
25	3478
5	6878
3	6878
0	6785
1254	6777
8	5
1	5
80	3827
122	3827
12	2379
5	2056
0	3309
130	2521
490	3307
3725	0
5105	0
779	62
11089	0
636	0
1516	0
2855	0
846	320
1303	320
4	0
9	0
1016	0
966	1763
36	1763
10871	0
10	2933
0	3497
7	3360
3	3418
2	2872
15	3413
24	3398
0	3477
1120	0
64	0
737	1543
67	1559
0	1347
0	1283
0	1287
8	944
404	943
2496	0
543	0
130	0
8	1024
22	1317
118	1307
1333	0
0	707
272	1453
0	1355
5	1323
14	1144
26	1377
2	1008
0	966
0	1074
17	1029
47	485
0	485
9	706
314	706
955	0
64	0
727	0
66	442
119	490
81	369
68	216
2780	0
1253	0
194	0
4030	0
30	0
1376	154
0	154
50	5085
0	4713
88	5110
0	4738
6	4096
875	0
739	0
7	1066
0	1149
2	1122
45	1119
509	0
7126	0
206	0
2775	0
2	983
68	983
364	43
0	0
9	19
116	43
0	0
214	19
599	0
10219	0
89	0
0	0
0	29
90	29
5	434
0	423
0	395
0	399
0	400
0	395
0	391
3	401
33	438
0	438
53	0
7769	0
416	0
281	0
723	0
3661	140
0	140
859	0
13	422
70	452
2	452
1	247
2227	0
99	8539
94	8833
1501	8859
0	0
2	0
8	2239
0	2239
160	0
1	0
2	0
12	0
11	99
0	99
0	0
126	2108
0	2109
137	42
1	1622
0	1625
3632	0
810	0
22	8440
0	8440
64	1168
15	1168
7	1134
2301	0
168	545
11	545
101	0
1165	0
157	0
16	0
43	1848
0	1848
50	1822
0	7396
0	7396
771	0
67	0
1332	0
327	1248
2	1248
15693	11
801	0
866	1155
95	1155
1239	0
640	0
0	1729
2	1717
0	1754
121	1693
0	1731
0	1737
0	1737
0	1721
0	1754
0	1721
0	1721
0	1723
0	1708
0	1708
0	1708
0	1724
0	1708
0	1711
793	4596
13	4596
35	1709
21	1709
9493	0
1969	4078
9	4078
2	4055
13	4058
1	4060
0	4057
0	4053
2107	0
431	0
0	0
0	0
0	0
0	0
558	2460
0	1356
0	2515
9	562
14	483
122	694
13484	0
4	0
56	4
3	4
851	0
669	8146
0	8146
850	0
1303	0
2310	0
81	0
0	0
3	372
39	372
2	98
6	96
0	78
8	96
0	69
0	77
0	133
3	137
0	100
1300	0
0	3
1149	3
0	327
0	310
0	272
0	255
20	0
330	53
0	7
0	7
804	52
9	2
22	0
0	603
0	652
1	689
4	737
0	709
15	778
0	670
5	708
11	686
0	709
17	756
0	781
0	775
0	0
0	0
47	939
4	939
2	775
1444	0
802	0
77	0
7	10243
3	9743
85	10452
0	11176
0	9670
1	9092
11	9959
17	10114
3	10005
3	10807
24	3909
529	4008
6	2768
0	3011
4	2577
0	39157
599	2568
447	6369
0	2193
3	12662
2	12997
4	12958
0	13293
0	10872
122	5
93	12161
0	10234
0	12153
8	11879
27	11881
2	255
15	255
14	138
31	27
0	27
22	270
283	5917
23	3237
0	2926
14	604
156	58
10	238
5	238
45	1257
31	380
0	630
0	841
174	391
1	1709
1	1647
5	1327
41	1705
2	1502
37	1601
6	1574
8	1432
6	1542
57	1422
17	420
2	21
9	797
4	9991
126	4313
6	3707
218	2310
158	2307
930	1240
1	35
1	1015
17	1336
8	473
135	61
760	37890
187	41766
509	3693
0	1352
1	1365
0	1332
0	1345
202	487
32	0
85	478
0	990
0	970
0	1003
0	983
79	1062
20	597
47	1664
15	1590
28	1608
5	2055
5	1524
0	1727
2	1279
2	1387
19	1178
0	1522
26	194
5	1594
87	1619
2	1590
0	1656
0	1689
2	1635
0	1649
0	1601
0	1564
1	1543
2	1601
433	0
1	192
3	4386
545	17204
2	5293
0	5544
203	5958
9	5230
1	84
130	3630
261	2
1	1002
81	1101
36	4506
99	817
584	399
86	418
201	619
21	354
44	567
501	2623
34	23009
8	20513
11	21072
0	22913
78	22220
44	22282
4	39
39	127
5	428
3814	5991
62	4697
10	4416
6	4394
2029	20812
283	2773
124	152
19	355
0	565
0	777
1898	810
0	51
3	43
0	19
0	34
0	18
4	25
10	66
7	23
50	66
294	245
1	72
6	109
0	826
0	614
193	39163
190	4110
0	322
0	325
139	1601
0	632
23	584
8	567
419	109
45	325
30	330
7	258
0	8
59	102
2	323
0	301
0	326
22	201
14	296
920	21346
82	3836
172	0
496	3424
54	547
1	18
0	18
0	17
40	242
0	453
1	453
0	1829
2	1814
10	1662
2414	0
0	694
0	816
1	612
9	677
2	475
0	858
37	681
40	3789
1	4159
189	3910
520	4191
4	3684
0	5070
0	5070
24	3902
9	3270
8281	0
1793	0
1	0
10	519
0	473
1	318
0	209
2	210
1	209
0	212
0	0
76	75
28	81
2	17
2055	0
124	0
6156	0
389	0
72	0
2321	0
2103	0
4055	0
7555	0
25	202
0	857
648	840
4392	0
0	482
0	643
0	643
6	644
209	4214
2	4214
1	9233
5	9497
340	9506
0	9444
0	9234
26	8821
2	6265
6	7640
472	0
22	286
370	410
8	411
388	2938
26	2938
748	0
984	0
0	899
0	929
0	886
9	1709
146	2008
0	1421
6	1431
0	1648
8	1387
1	1479
25	1181
179	1498
3021	0
20	2013
696	2013
218	241
338	274
182	916
80	778
397	3722
18	219
20	511
18	399
33	261
250	7416
848	1797
16	495
15	555
7	529
1	309
35	451
32	659
105	1780
18	891
36	2804
5	2581
47	3277
3	425
48	431
2	155
0	107
0	107
16	71
163	1665
956	4075
12	1422
247	3403
67	127
293	2353
0	6666
0	7333
0	6882
939	415
9	18664
30	18594
111	18992
6	3812
11	3478
4	3299
1	3174
24	172
1	348
0	359
0	315
0	354
0	345
0	302
1	344
0	339
0	358
0	340
0	353
0	355
0	342
0	331
0	318
0	356
0	342
24	13
91	178
14940	1148
18	190
8	11
25	182
23	307
4	6
5	3606
3	3232
23	2824
4	3158
1	3257
28	3308
34	3426
0	3571
2281	0
16572	0
6	626
19	699
19	742
1	563
0	629
33	377
57	359
1	549
9	551
1	465
1	321
0	404
306	1102
477	6780
160	1039
17	501
11	411
17	58
2585	1733
298	1879
14	3
1218	5174
62	304
138	109
38	379
469	5130
6	358
67	986
76	28049
49	26912
47	26820
0	28058
19	24430
23	24201
44	1818
0	2032
2	1773
21	1599
4	1974
14	2005
5	1697
30	115
699	30798
196	1528
7	82
962	166
450	278
53	4871
15	59
3	875
3	1086
83	208
1508	0
0	106
1	94
0	106
5	101
0	6
0	2
0	2
0	6
163	1148
1	1148
12	734
181	461
89	1289
308	8258
146	92
27	1
63	358
12	500
10	510
2	215
57	199
37	781
337	8529
172	374
58	374
153	173
73	560
46	226
334	560
328	53
0	455
30	485
2	467
0	0
0	81
0	71
0	71
0	64
5	83
0	74
0	62
0	53
0	65
0	56
0	63
0	53
1792	0
240	769
251	856
4	1731
14	2390
44	2390
17	984
61	1406
61	2430
0	4185
0	4237
1	4180
0	4234
0	4897
1	5715
483	5709
0	0
33	0
991	2268
29	2287
0	2272
0	2209
0	8001
45	7949
75	7945
2	7988
1	7949
1	7958
41	7968
0	7940
0	7942
0	7931
15	7984
3854	0
0	1060
44	365
51	1135
110	1139
51	1218
0	1218
8	1220
25	1221
0	1218
1	1058
0	1056
136	0
360	2650
0	2650
0	2586
0	2648
0	2645
0	2586
1	2170
