UniqueCount	AmbigCount
995	1
33	348
2	213
36	299
1	277
23	253
90	858
0	1850
0	1849
2	0
129	876
8	1876
67	1562
0	1562
1	1483
2187	1
0	0
484	58
1	58
2335	0
0	776
4	758
0	664
34	739
0	527
0	575
0	549
2	478
1	159
42	0
30	1151
16	1139
1	1146
10	1
12	1
173	0
491	0
1142	0
1444	0
4481	2
1	169
333	167
136	62
2	62
7	116
5	116
57	550
0	550
1	550
3	522
0	1607
4	697
179	1607
0	1603
4	621
5	615
0	597
0	599
0	0
4	917
72	831
48	865
233	3307
8	3348
30	2707
31	2868
0	1131
0	476
0	474
0	474
135	451
0	468
97	329
79	329
14	893
34	893
0	0
1304	0
4	0
1	0
13	218
19	218
0	4
0	4
0	1741
26	2038
275	746
3	1835
58	0
817	0
151	2055
151	2055
555	128
112	412
19	284
39	279
24	153
2	153
1	0
4	0
27	0
13	1
1	1
13	0
38	453
5	453
1324	0
156	0
208	1139
26	1138
582	4271
2	4070
1	3643
1	0
1833	0
1311	4
40	845
0	698
2	673
76	517
0	0
803	1460
21	1460
379	789
11	789
7	0
814	0
24	0
76	1589
14	1589
0	8
0	8
0	8
7	1185
1	1060
1	998
1	1030
307	3507
0	3353
20	3619
2	3333
18	3591
2	453
2	442
0	443
5	470
3735	0
32	219
10	219
216	0
62	679
54	679
1	75
176	628
1	628
4	68
39	68
1	721
0	738
0	749
1402	0
0	0
0	0
3	41
125	41
363	0
85	11553
0	12671
0	14158
222	13111
0	12532
2	1615
0	1550
69	1673
0	1598
171	501
623	501
38	1429
0	1430
6	1441
582	0
68	0
0	0
0	0
0	0
0	11
1	11
2410	4
0	169
24	149
528	169
6	1681
0	1789
6	1686
1	1624
0	0
0	1560
6	1560
1027	2391
31	2398
0	1566
0	1562
0	2074
0	1565
4	2068
153	0
561	0
2	16
0	16
0	13
45	315
17	315
3	13
6	4949
50	4811
1	4780
9	4531
7	635
0	635
0	576
0	519
0	438
0	437
17	337
0	0
2	0
2	217
0	217
0	999
2	999
84	1443
164	1443
0	15
3	15
6	12
0	12
28	0
232	1
0	655
40	655
16	0
18	530
0	544
12	496
0	266
33	266
1918	1
0	1188
58	1188
1523	2
231	0
180	1580
5	1577
96	2524
155	2524
54	53
3566	0
2	500
9	500
424	1
124	1070
52	1069
288	0
0	69
1	69
4	69
51	0
24	218
0	206
0	224
1	1
1	1
0	1
1868	0
15	343
0	343
1	343
156	1399
0	457
136	786
1	1269
0	777
0	454
30	1271
484	2
436	3825
0	4604
285	4602
13	4010
0	4620
0	4212
48	4618
24	141
157	141
1081	1
35	816
0	791
0	440
0	429
55	308
0	308
464	2
24	285
0	344
0	344
304	410
86	633
12	578
3	0
613	1414
7	1414
1743	1874
54	1874
396	2
72	1177
76	1177
1474	0
208	364
2	364
919	1
907	0
0	1389
0	1371
